Name,Disc. Date,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray
SN2020able,12/2/20,26:02.3,+24:31:17.83,0.024755,Ic,,1,,
SN2020abpa,12/1/20,32:02.1,+23:33:27.21,0.023303,Ic,,1,,
SN2020aaxf,11/25/20,20:42.0,-01:24:52.40,0.014813,IIb,,1,,
SN2020aaxs,11/25/20,58:33.9,+37:27:11.49,0.011501,Ib,,1,,
SN2020aaqf,11/19/20,07:47.6,+55:00:57.20,0.036562,Ib,,1,,
SN2020zwy,11/16/20,56:18.8,-22:19:05.30,,Ic,,1,,
SN2020zlg,11/12/20,09:55.7,+36:56:44.84,0.0295,Ib,,1,,
SN2020zgl,11/11/20,"23:28:01.146,23:28:01.143",-02:09:53.61,"0.006501,0.006501",Ib Pec,5,1,,
SN2020zcp,11/8/20,"02:57:10.537,02:57:10.539","-00:50:13.40,-00:50:13.37","0.043,0.043",Ib,4,1,,
SN2020zae,11/8/20,07:48.0,-29:48:49.94,"0.023,0.023",Ib/c,1,1,,
SN2020yvv,11/3/20,59:13.6,+38:37:50.43,"0.032,0.032",Ib,1,1,,
SN2020xpn,10/20/20,25:39.0,+16:47:14.60,0.034704,Ic,1,,,
SN2020wpq,10/14/20,"02:04:50.860,02:04:50.839","-17:45:40.40,-17:45:40.38","0.038,0.038",Ib,7,1,,
AT2020xnd,10/12/20,20:02.0,-02:50:25.30,,Ib-18cow,1,,,
SN2020urc,10/2/20,18:11.1,+37:05:50.04,0.026728,IIb,1,,,
SN2020uvh,9/28/20,40:44.7,+67:43:55.50,0.016111,Ic,3,1,,
SN2020uas,9/23/20,"22:59:38.676,22:59:38.64","+20:08:35.89,+20:08:35.52",0.02361,Ib/c,8,1,,
SN2020twp,9/18/20,18:35.4,+05:20:01.22,0.193,Ic,8,1,,
SN2020tsc,9/18/20,07:53.3,-18:41:58.40,0.051,Ic BL,1,1,,
SN2020tjd,9/15/20,"05:46:04.979,05:46:04.992","-23:33:57.80,-23:33:57.6",0.01,IIb,15,1,,
SN2020tii,9/15/20,41:25.8,-22:42:18.49,0.046432,Ic,7,1,,
SN2020tkx,9/14/20,"18:40:09.000,18:40:09.12","+34:06:59.54,+34:06:59.4",,Ic BL,12,1,,
SN2020tdu,9/13/20,45:49.0,-21:39:39.93,0.032356,Ib,2,1,,
SN2020taz,9/11/20,26:06.3,+10:33:29.71,0.05,Ibn,7,1,,
SN2020sya,9/10/20,19:17.7,+21:45:45.89,0.031428,Ic,5,1,,
SN2020sym,9/9/20,29:00.7,-19:06:31.48,0.042,Ic,4,1,,
SN2020tkc,9/6/20,06:35.1,+28:18:33.76,0.036,IIb,5,1,,
SN2020sgf,8/28/20,"03:22:52.763,03:22:52.776","+42:33:21.95,+42:33:21.96",0.022085,Ic,7,1,,
SN2020sbw,8/26/20,46:03.3,+03:19:47.74,0.023033,IIb,7,1,,
SN2020scb,8/26/20,18:25.6,+18:30:59.47,0.017429,Ib/c,7,1,,
SN2020rvf,8/22/20,"03:54:15.996,03:54:16.008,03:54:15.928","+15:55:42.92,+15:55:42.96,+15:55:42.62",0.022222,Ic,6,,,
SN2020sai,8/21/20,"03:13:22.842,03:13:22.848","+06:38:06.09,+06:38:06",0.03,Ib,15,1,,
SN2020rur,8/21/20,59:21.8,+05:37:21.43,0.015647,Ic,6,,,
SN2020rwz,8/20/20,46:47.0,+58:58:47.33,0.0369,Ic,3,1,,
SN2020rlg,8/16/20,04:38.8,+33:48:30.68,0.017445,Ic,2,1,,
SN2020rfr,8/12/20,39:49.3,-06:26:15.95,"0.0725,0.475",Ic BL,5,,,
SN2020rph,8/11/20,15:17.8,+37:00:50.65,0.03,Ic BL,11,1,,
SN2020rbn,8/10/20,00:05.4,-05:12:38.69,0.037659,Ib/c,3,,,
SN2020rkz,8/7/20,45:17.2,+40:51:00.77,0.1,Ib/c,2,1,,
SN2020qrx,8/3/20,23:58.4,+17:22:09.53,0.028387,Ic,5,1,,
SN2020qvr,7/31/20,25:33.4,-26:25:22.62,0.028,Ic,3,1,,
SN2020qkt,7/27/20,17:01.8,-17:46:51.78,0.03722,Ic,2,1,,
SN2020qbu,7/22/20,"01:33:53.391,01:33:53.4","-13:04:49.01,-13:04:49.44",0.02,Ic,9,1,,
SN2020qlq,7/20/20,14:55.1,+31:46:40.98,0.039447,Ib/c,2,,,
SN2020obn,7/7/20,01:21.2,+65:30:15.63,0.031288,Ib,7,1,,
SN2020oce,7/7/20,12:20.8,+31:07:33.40,0.023536,Ic,2,1,,
AT2020nxt,7/3/20,37:36.2,+35:00:07.66,,Ibn,2,1,,
SN2020nke,6/24/20,"17:05:01.860,17:05:01.92","+23:09:24.87,+23:09:24.84",0.03065,Ib,7,,,
SN2020njz,6/24/20,01:51.0,-10:28:11.88,0.015724,Ic,1,,,
SN2020nac,6/18/20,43:24.6,+50:40:28.06,0.017409,Ib,2,1,,
SN2020mso,6/12/20,06:14.3,+50:43:34.57,0.1,Ibn,4,1,,
SN2020mbc,6/9/20,02:03.6,+26:37:49.22,0.0423,Ic,3,,,
SN2020ltq,6/5/20,44:34.5,-24:36:10.34,0.017587,Ib,1,,,
SN2020lls,5/31/20,10:21.5,+24:26:14.03,0.04106,Ic,3,1,,
AT2020lid,5/29/20,20:00.8,-06:20:04.39,0.012372,Ib,1,,,
SN2020lao,5/25/20,"17:06:54.605,17:06:54.72","+30:16:17.25,+30:16:17.4",0.031162,Ic BL,14,1,,
SN2020kzs,5/25/20,14:55.0,+35:31:13.77,0.037395,Ib,4,,,
SN2020lbh,5/25/20,43:25.0,+35:11:02.85,0.15,Ic,2,1,,
SN2020kxg,5/24/20,20:00.5,-16:39:40.11,0.015,Ib,4,1,,
SN2020ksa,5/22/20,59:28.0,+46:07:28.47,0.022239,Ib,4,,,
SN2020kba,5/15/20,58:42.6,+08:59:44.55,0.04,Ic,4,1,,
SN2020jqm,5/11/20,49:18.6,-03:46:10.42,0.036962,Ic BL,3,1,,
SN2020jfv,5/5/20,"23:06:35.745,23:06:35.76","+00:36:43.58,+00:36:43.6",0.01709,IIb,12,,,
SN2020itj,5/1/20,34:48.4,+08:10:10.44,0.032947,Ib,7,1,,
SN2020ikq,4/28/20,36:05.0,+28:58:59.69,0.037,IIb,6,1,,
SN2020iic,4/26/20,"11:44:57.410,11:44:57.36","-02:30:26.16,-02:30:27",0.047151,Ibn,7,1,,
SN2020hvp,4/21/20,"16:21:45.395,16:21:45.36","-02:17:21.29,-02:17:21.372",0.005247,Ib,11,1,,
SN2020ivg,4/19/20,57:46.0,+41:14:17.98,0.053,IIb,3,1,,
SN2020hop,4/17/20,19:28.2,-13:43:25.33,0.018,Ic,5,1,,
AT2020hqz,4/17/20,17:32.8,+00:00:28.89,0.018199,Ib,4,1,,
SN2020htt,4/17/20,31:38.4,-17:51:08.09,0.023043,Ib,4,1,,
SN2020hyj,4/16/20,23:47.2,+29:58:58.43,0.055,Ic BL,3,1,,
SN2020hoi,4/15/20,13:45.8,+24:21:21.42,0.02091,Ib,5,1,,
SN2020hes,4/14/20,"17:47:05.716,17:47:05.76","+42:46:39.80,+42:46:39.72",0.295,Ic BL,7,1,,
SN2020heq,4/14/20,55:31.2,+12:53:45.11,0.03362,Ic,4,1,,
SN2020hdh,4/12/20,32:38.5,+31:40:15.64,0.011785,Ic,2,1,,
SN2020fqv,3/31/20,"12:36:33.261,12:36:33.36,12:36:33.266","+11:13:53.96,+11:13:53.76,+11:13:54.04",0.007522,IIb,13,1,,
SN2020fhj,3/29/20,08:28.4,+29:00:46.37,0.085,Ic BL,2,1,,
SN2020fkb,3/28/20,28:30.4,+58:33:46.78,0.01041,Ib/c,2,1,,
SN2020euy,3/21/20,"13:36:29.488,13:36:29.52,13:36:29.482","+47:34:26.36,+47:34:26.4,+47:34:26.35",0.062312,Ic,4,1,,
SN2020epi,3/19/20,22:08.8,+06:06:01.30,0.024562,Ic,5,1,,
SN2020eai,3/5/20,59:08.1,+04:58:21.78,0.015621,Ib,5,1,,
SN2020egt,3/3/20,04:50.6,+24:24:35.75,0.040428,Ib/c,6,1,,
SN2020dhm,2/24/20,"16:23:11.613,16:23:11.52","+36:41:43.80,+36:41:43.8",0.03383,Ic,28,1,,
SN2020dfs,2/23/20,41:23.3,-09:17:34.53,0.04106,Ib,7,1,,
SN2020dgd,2/19/20,45:35.6,+29:18:38.46,0.03,Ic BL,2,1,,
SN2020cwd,2/19/20,"06:06:59.063,06:06:59.064","-49:00:24.85,-49:00:24.84",0.052,Ibn,1,1,,
SN2020cpg,2/15/20,"13:52:17.976,13:52:18","+13:34:31.71,+13:34:31.8",0.035,Ib,9,1,,
SN2020clr,2/12/20,"11:00:54.077,11:00:54","+57:46:33.59,+57:46:33.6",0.048258,Ic,20,,,
SN2020cln,2/12/20,19:31.9,-03:53:00.49,0.041,Ib,1,1,,
AT2020cgu,2/11/20,"07:27:48.242,07:27:48.24","+20:24:05.39,+20:24:05.4",0.027189,Ic,14,1,,
SN2020byp,2/6/20,"16:09:19.663,16:09:19.68","+15:49:20.29,+15:49:20.28",0.041,Ic,13,,,
SN2020bvc,2/4/20,"14:33:57.021,14:33:57.12","+40:14:38.10,+40:14:38.04",0.025235,Ic BL,4,1,,
SN2020bmj,1/30/20,"13:12:31.925,13:12:31.92","+04:51:59.61,+04:51:59.508",0.04787,Ib,7,,,
SN2020big,1/29/20,"05:01:15.791,05:01:15.792","-14:01:27.58,-14:01:27.48",0.024467,Ibn,3,1,,
SN2020bpf,1/28/20,"06:55:23.504,06:55:23.52","+27:43:19.14,+27:43:19.2",0.02723,Ib,10,1,,
SN2020bcq,1/27/20,26:29.7,+36:00:31.16,0.01861,Ib,5,1,,
SN2020bfb,1/27/20,54:44.2,-39:51:09.50,0.011718,Ic,1,1,,
SN2020bft,1/27/20,12:38.5,-32:12:35.19,0.03,IIb,1,1,,
SN2020ayz,1/26/20,12:04.9,+32:44:01.79,0.025149,Ic BL,5,1,,
SN2020aut,1/25/20,"14:10:13.357,14:10:13.44","-06:49:20.71,-06:49:20.82",0.033703,Ic,6,1,,
SN2020avf,1/25/20,"11:02:59.420,11:02:59.52","-16:17:31.77,-16:17:31.56",0.013006,Ib,4,1,,
SN2020aok,1/23/20,15:01.4,+52:30:20.04,0.04635,IIb,10,,,
SN2020axo,1/23/20,28:00.0,+16:36:26.75,0.1,Ic,2,1,,
